USERID	NAME	SURNAME	GENDER	RACE	AGE	PROVINCE	CHANNEL2	RECORDDATE	EMAIL	RECORDTIME	DURATION2	SOCIAL_MEDIA_HANDLE
808923	Art?	Nicholls	male	other	23	Eastern Cape	Trace TV	2016/02/17	Art?405@mailxyz.com	18:45:00.000	00:13:21.000	@Art?40
933014	Bernardo?	Marek	male	black	19	Limpopo	Boomerang	2016/03/31	Bernardo?324@abcmail.com	23:24:00.000	00:00:00.000	@Bernardo?32
892461	Bernardo?	Paradis	male	indian_asian	30	Kwazulu Natal	SawSee	2016/03/12	Bernardo?323@mail.com	08:24:00.000	00:01:18.000	@Bernardo?32
892461	Bernardo?	Paradis	male	indian_asian	30	Kwazulu Natal	SawSee	2016/03/09	Bernardo?323@mail.com	03:54:00.000	00:00:00.000	@Bernardo?32
2255463	Filiberto?	Curran	male	black	43	Gauteng	Boomerang	2016/03/31	Filiberto?41@yahoo.com	13:17:00.000	00:00:54.000	@Filiberto?4
808926	Bret?	Mccollum	male	coloured	22	Western Cape	Supersport Live Events	2016/02/19	Bret?313@mail.com	07:20:00.000	01:29:08.000	@Bret?31
808926	Bret?	Mccollum	male	coloured	22	Western Cape	Channel O	2016/02/21	Bret?313@mail.com	06:27:00.000	00:01:48.000	@Bret?31
808926	Bret?	Mccollum	male	coloured	22	Western Cape	Trace TV	2016/02/02	Bret?313@mail.com	10:17:00.000	00:01:06.000	@Bret?31
808926	Bret?	Mccollum	male	coloured	22	Western Cape	Supersport Live Events	2016/02/25	Bret?313@mail.com	06:38:00.000	00:03:14.000	@Bret?31
808926	Bret?	Mccollum	male	coloured	22	Western Cape	Cartoon Network	2016/02/18	Bret?313@mail.com	12:00:00.000	00:21:11.000	@Bret?31
771783	Len?	Pascarella	male	indian_asian	23	Gauteng	Trace TV	2016/02/01	Len?442@gmail.com	12:51:00.000	00:04:45.000	@Len?44
771783	Len?	Pascarella	male	indian_asian	23	Gauteng	SawSee	2016/01/30	Len?442@gmail.com	21:43:00.000	00:00:13.000	@Len?44
2368357	Kip?	Curran	male	black	37	Gauteng	SuperSport Blitz	2016/03/02	Kip?141@yahoo.com	12:32:00.000	00:03:52.000	@Kip?14
2368357	Kip?	Curran	male	black	37	Gauteng	Supersport Live Events	2016/03/08	Kip?141@yahoo.com	10:46:00.000	00:00:56.000	@Kip?14
2368357	Kip?	Curran	male	black	37	Gauteng	Cartoon Network	2016/03/08	Kip?141@yahoo.com	15:28:00.000	00:00:00.000	@Kip?14
2368357	Kip?	Curran	male	black	37	Gauteng	Trace TV	2016/03/08	Kip?141@yahoo.com	15:28:00.000	00:00:00.000	@Kip?14
788616	Winona?	Wigfall	female	black	44	Gauteng	SuperSport Blitz	2016/01/27	Winona?482@gmail.com	12:03:00.000	00:00:06.000	@Winona?48
771785	Kip?	Martello	male	black	43	Gauteng	ICC Cricket World Cup 2011	2016/02/28	Kip?141@yahoo.com	16:53:00.000	00:00:46.000	@Kip?14
630977	Stacy?	Wigfall	male	coloured	28	Gauteng	Trace TV	2016/01/16	Stacy?274@abcmail.com	09:52:00.000	00:00:15.000	@Stacy?27
808928	Hugh	Borelli	male	black	35	Gauteng	Channel O	2016/02/13	Hugh13@mail.com	19:35:00.000	00:05:30.000	@Hugh1
808928	Hugh	Borelli	male	black	35	Gauteng	ICC Cricket World Cup 2011	2016/03/01	Hugh13@mail.com	12:15:00.000	00:00:00.000	@Hugh1
831694	Filiberto?	Tancredi	male	None	25	Limpopo	Africa Magic	2016/03/01	Filiberto?41@yahoo.com	22:07:00.000	00:00:02.000	@Filiberto?4
808929	Winona?	Wigfall	female	black	32	Eastern Cape	Africa Magic	2016/01/11	Winona?141@yahoo.com	18:18:00.000	00:00:57.000	@Winona?14
808929	Winona?	Wigfall	female	black	32	Eastern Cape	Cartoon Network	2016/01/24	Winona?141@yahoo.com	18:35:00.000	01:32:32.000	@Winona?14
892465	Bret?	Luthy	male	black	36	Gauteng	Cartoon Network	2016/03/13	Bret?314@abcmail.com	18:39:00.000	00:02:31.000	@Bret?31
892465	Bret?	Luthy	male	black	36	Gauteng	Channel O	2016/03/14	Bret?314@abcmail.com	10:38:00.000	00:00:36.000	@Bret?31
892465	Bret?	Luthy	male	black	36	Gauteng	CNN	2016/03/18	Bret?314@abcmail.com	14:04:00.000	00:00:37.000	@Bret?31
892465	Bret?	Luthy	male	black	36	Gauteng	Vuzu	2016/03/19	Bret?314@abcmail.com	07:23:00.000	00:00:20.000	@Bret?31
892465	Bret?	Luthy	male	black	36	Gauteng	Africa Magic	2016/03/31	Bret?314@abcmail.com	10:45:00.000	00:00:08.000	@Bret?31
892465	Bret?	Luthy	male	black	36	Gauteng	Africa Magic	2016/03/30	Bret?314@abcmail.com	14:13:00.000	00:00:26.000	@Bret?31
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	ICC Cricket World Cup 2011	2016/03/08	Shane?22@gmail.com	09:19:00.000	00:22:56.000	@Shane?2
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	Cartoon Network	2016/03/19	Shane?22@gmail.com	05:10:00.000	00:00:06.000	@Shane?2
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	ICC Cricket World Cup 2011	2016/03/12	Shane?22@gmail.com	09:38:00.000	00:00:38.000	@Shane?2
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	ICC Cricket World Cup 2011	2016/03/12	Shane?22@gmail.com	09:48:00.000	00:01:52.000	@Shane?2
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	ICC Cricket World Cup 2011	2016/03/09	Shane?22@gmail.com	13:14:00.000	00:27:16.000	@Shane?2
820335	Shane?	Roquemore	male	indian_asian	17	Gauteng	ICC Cricket World Cup 2011	2016/03/26	Shane?22@gmail.com	12:44:00.000	00:04:22.000	@Shane?2
830836	Yong?	Holt	male	None	21	Free State	Boomerang	2016/03/02	Yong?485@mailxyz.com	11:07:00.000	00:00:07.000	@Yong?48
770963	None	None	None	None	0	None	Supersport Live Events	2016/03/24	Roxane?52@gmail.com	09:45:00.000	00:23:04.000	None
770963	None	None	None	None	0	None	ICC Cricket World Cup 2011	2016/02/25	Roxane?52@gmail.com	09:28:00.000	00:06:10.000	None
904035	Jacinto?	Hier	male	black	23	Gauteng	E! Entertainment	2016/03/29	Jacinto?252@gmail.com	19:34:00.000	00:05:42.000	@Jacinto?25
868888	Donald?	Mccown	male	indian_asian	21	Gauteng	ICC Cricket World Cup 2011	2016/03/30	Donald?223@mail.com	11:55:00.000	00:06:54.000	@Donald?22
808930	Claud?	Marek	male	indian_asian	35	Limpopo	Supersport Live Events	2016/02/22	Claud?345@mailxyz.com	08:29:00.000	00:01:28.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/03/02	Claud?345@mailxyz.com	09:38:00.000	00:04:30.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/03/11	Claud?345@mailxyz.com	08:40:00.000	00:00:00.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/02/24	Claud?345@mailxyz.com	11:23:00.000	00:03:56.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/02/24	Claud?345@mailxyz.com	08:33:00.000	00:03:44.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	Supersport Live Events	2016/02/27	Claud?345@mailxyz.com	17:11:00.000	00:00:28.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/02/23	Claud?345@mailxyz.com	15:26:00.000	00:00:08.000	@Claud?34
808930	Claud?	Marek	male	indian_asian	35	Limpopo	ICC Cricket World Cup 2011	2016/03/30	Claud?345@mailxyz.com	12:19:00.000	00:23:08.000	@Claud?34
879414	Loyd?	Caves	male	coloured	30	Western Cape	CNN	2016/03/31	Loyd?495@mailxyz.com	21:19:00.000	00:00:52.000	@Loyd?49
771791	Shane?	Luthy	male	black	34	Gauteng	Channel O	2016/03/14	Shane?24@abcmail.com	11:51:00.000	00:02:54.000	@Shane?2
771791	Shane?	Luthy	male	black	34	Gauteng	M-Net	2016/03/06	Shane?24@abcmail.com	05:02:00.000	00:01:43.000	@Shane?2
819259	Dia?	Arrieta	female	white	10	Western Cape	Supersport Live Events	2016/02/26	Dia?475@mailxyz.com	15:53:00.000	00:01:44.000	@Dia?47
2285528	Filiberto?	Crotty	male	None	26	Western Cape	ICC Cricket World Cup 2011	2016/03/15	Filiberto?44@abcmail.com	10:20:00.000	00:53:50.000	@Filiberto?4
868892	Raymundo?	Creager	male	black	20	Gauteng	Trace TV	2016/03/12	Raymundo?432@gmail.com	14:47:00.000	00:05:54.000	@Raymundo?43
808971	Jacinto?	Mccollum	male	black	36	Gauteng	Boomerang	2016/02/08	Jacinto?254@abcmail.com	10:45:00.000	00:00:14.000	@Jacinto?25
868892	Raymundo?	Creager	male	black	20	Gauteng	Channel O	2016/03/10	Raymundo?432@gmail.com	10:50:00.000	00:01:42.000	@Raymundo?43
866251	Filiberto?	Mina	male	black	30	Gauteng	Boomerang	2016/03/10	Filiberto?41@yahoo.com	19:13:00.000	00:04:31.000	@Filiberto?4
779369	Dee?	Mastrangelo	male	black	36	Gauteng	CNN	2016/02/11	Dee?211@yahoo.com	19:35:00.000	00:20:39.000	@Dee?21
779369	Dee?	Mastrangelo	male	black	36	Gauteng	E! Entertainment	2016/01/20	Dee?211@yahoo.com	05:20:00.000	00:06:16.000	@Dee?21
779369	Dee?	Mastrangelo	male	black	36	Gauteng	CNN	2016/01/18	Dee?211@yahoo.com	13:06:00.000	00:13:19.000	@Dee?21
1281997	Carlota?	Tancredi	female	coloured	14	Free State	Cartoon Network	2016/02/20	Carlota?273@mail.com	16:51:00.000	00:00:35.000	@Carlota?27
615057	Anette?	Leicht	female	black	25	Limpopo	Channel O	2016/01/10	Anette?341@yahoo.com	07:34:00.000	00:14:12.000	@Anette?34
786055	Williemae?	Holt	female	white	25	Gauteng	Channel O	2016/01/19	Williemae?484@abcmail.com	18:42:00.000	00:01:03.000	@Williemae?48
786055	Williemae?	Holt	female	white	25	Gauteng	DStv Events 1	2016/01/18	Williemae?484@abcmail.com	17:49:00.000	00:02:25.000	@Williemae?48
850656	Carter?	Hoadley	male	black	26	Mpumalanga	Africa Magic	2016/03/05	Carter?33@mail.com	21:12:00.000	00:00:17.000	@Carter?3
850656	Carter?	Hoadley	male	black	26	Mpumalanga	Channel O	2016/03/06	Carter?33@mail.com	05:25:00.000	00:00:00.000	@Carter?3
850656	Carter?	Hoadley	male	black	26	Mpumalanga	Africa Magic	2016/03/06	Carter?33@mail.com	07:09:00.000	00:00:00.000	@Carter?3
2368365	Loyd?	Pascarella	male	coloured	27	Limpopo	ICC Cricket World Cup 2011	2016/03/30	Loyd?494@abcmail.com	11:17:00.000	00:38:12.000	@Loyd?49
764296	Royal?	Pascarella	male	coloured	23	Western Cape	E! Entertainment	2016/02/04	Royal?175@mailxyz.com	08:42:00.000	00:02:26.000	@Royal?17
764296	Royal?	Pascarella	male	coloured	23	Western Cape	Trace TV	2016/02/01	Royal?175@mailxyz.com	20:10:00.000	00:00:00.000	@Royal?17
779373	Loyd?	Beville	male	black	40	Limpopo	CNN	2016/02/28	Loyd?492@gmail.com	05:58:00.000	00:06:27.000	@Loyd?49
771793	Anette?	Leicht	female	indian_asian	40	Western Cape	Supersport Live Events	2016/01/05	Anette?143@mail.com	21:33:00.000	00:04:56.000	@Anette?14
771793	Anette?	Leicht	female	indian_asian	40	Western Cape	Supersport Live Events	2016/01/10	Anette?143@mail.com	04:43:00.000	00:00:00.000	@Anette?14
771793	Anette?	Leicht	female	indian_asian	40	Western Cape	Trace TV	2016/02/18	Anette?143@mail.com	20:23:00.000	00:00:42.000	@Anette?14
771793	Anette?	Leicht	female	indian_asian	40	Western Cape	Trace TV	2016/02/12	Anette?143@mail.com	00:38:00.000	00:02:33.000	@Anette?14
1106084	Hyman?	Mosser	male	black	37	Gauteng	Channel O	2016/03/22	Hyman?82@gmail.com	18:50:00.000	00:11:39.000	@Hyman?8
1106084	Hyman?	Mosser	male	black	37	Gauteng	Supersport Live Events	2016/03/05	Hyman?82@gmail.com	17:30:00.000	00:00:54.000	@Hyman?8
1106084	Hyman?	Mosser	male	black	37	Gauteng	ICC Cricket World Cup 2011	2016/03/06	Hyman?82@gmail.com	09:20:00.000	00:11:24.000	@Hyman?8
1106084	Hyman?	Mosser	male	black	37	Gauteng	Trace TV	2016/03/09	Hyman?82@gmail.com	04:54:00.000	00:03:24.000	@Hyman?8
1106084	Hyman?	Mosser	male	black	37	Gauteng	Channel O	2016/03/09	Hyman?82@gmail.com	18:00:00.000	00:04:39.000	@Hyman?8
868895	Kip?	Paradis	male	coloured	23	Western Cape	Trace TV	2016/03/14	Kip?144@abcmail.com	23:35:00.000	00:13:48.000	@Kip?14
868895	Kip?	Paradis	male	coloured	23	Western Cape	ICC Cricket World Cup 2011	2016/03/12	Kip?144@abcmail.com	12:18:00.000	00:38:02.000	@Kip?14
868895	Kip?	Paradis	male	coloured	23	Western Cape	Trace TV	2016/03/12	Kip?144@abcmail.com	12:19:00.000	00:01:09.000	@Kip?14
868895	Kip?	Paradis	male	coloured	23	Western Cape	ICC Cricket World Cup 2011	2016/03/16	Kip?144@abcmail.com	00:02:00.000	00:02:00.000	@Kip?14
868895	Kip?	Paradis	male	coloured	23	Western Cape	Channel O	2016/03/16	Kip?144@abcmail.com	00:14:00.000	00:03:18.000	@Kip?14
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/03/24	Claud?344@abcmail.com	12:17:00.000	00:12:40.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Boomerang	2016/03/11	Claud?344@abcmail.com	16:58:00.000	00:05:30.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/02/06	Claud?344@abcmail.com	06:56:00.000	00:00:00.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Trace TV	2016/02/06	Claud?344@abcmail.com	10:38:00.000	00:04:03.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/02/06	Claud?344@abcmail.com	19:55:00.000	00:03:38.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Trace TV	2016/03/06	Claud?344@abcmail.com	12:38:00.000	00:04:57.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	SuperSport Blitz	2016/02/12	Claud?344@abcmail.com	17:16:00.000	00:02:42.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/03/06	Claud?344@abcmail.com	13:58:00.000	00:01:02.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/03/06	Claud?344@abcmail.com	14:00:00.000	00:01:38.000	@Claud?34
808934	Claud?	Woolard	male	indian_asian	36	Kwazulu Natal	Supersport Live Events	2016/03/27	Claud?344@abcmail.com	16:07:00.000	00:01:30.000	@Claud?34
939592	Brendan?	Mccown	male	coloured	34	Western Cape	Supersport Live Events	2016/03/27	Brendan?455@mailxyz.com	14:51:00.000	00:17:32.000	@Brendan?45
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	SuperSport Blitz	2016/02/05	Jacinto?251@yahoo.com	15:17:00.000	00:27:14.000	@Jacinto?25
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	Supersport Live Events	2016/03/24	Jacinto?251@yahoo.com	10:46:00.000	00:02:28.000	@Jacinto?25
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	Channel O	2016/02/06	Jacinto?251@yahoo.com	16:10:00.000	00:00:51.000	@Jacinto?25
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	Supersport Live Events	2016/02/06	Jacinto?251@yahoo.com	16:18:00.000	00:00:18.000	@Jacinto?25
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	Supersport Live Events	2016/03/27	Jacinto?251@yahoo.com	16:58:00.000	00:24:10.000	@Jacinto?25
771796	Jacinto?	Mcclaine	male	coloured	35	Western Cape	Supersport Live Events	2016/03/26	Jacinto?251@yahoo.com	17:00:00.000	01:44:38.000	@Jacinto?25
889840	Stefan?	Paradis	male	black	31	Mpumalanga	Supersport Live Events	2016/03/20	Stefan?463@mail.com	20:18:00.000	00:00:00.000	@Stefan?46
2368371	Markus?	Arrieta	male	coloured	44	Western Cape	Supersport Live Events	2016/03/26	Markus?195@mailxyz.com	10:25:00.000	00:08:12.000	@Markus?19
617535	Stefan?	Reisinger	male	indian_asian	40	Gauteng	Africa Magic	2016/01/11	Stefan?464@abcmail.com	20:08:00.000	00:00:11.000	@Stefan?46
617961	Robby?	Mosser	male	indian_asian	30	Mpumalanga	Boomerang	2016/01/31	Robby?165@mailxyz.com	22:06:00.000	00:09:11.000	@Robby?16
771797	Randy?	Beville	male	None	35	Gauteng	SuperSport Blitz	2016/02/03	Randy?395@mailxyz.com	13:31:00.000	00:00:32.000	@Randy?39
67584	Hollis?	Caves	male	white	58	Western Cape	Supersport Live Events	2016/01/18	Hollis?383@mail.com	15:04:00.000	00:05:58.000	@Hollis?38
808936	Valentine?	Slane	male	white	23	Gauteng	Supersport Live Events	2016/03/24	Valentine?474@abcmail.com	12:31:00.000	00:05:50.000	@Valentine?47
808936	Valentine?	Slane	male	white	23	Gauteng	Supersport Live Events	2016/02/18	Valentine?474@abcmail.com	10:25:00.000	00:00:00.000	@Valentine?47
590480	Mellie?	Creager	female	indian_asian	10	Western Cape	Africa Magic	2016/01/04	Mellie?411@yahoo.com	16:11:00.000	00:02:47.000	@Mellie?41
831713	Katharina?	Condie	female	black	26	North West	Trace TV	2016/03/14	Katharina?265@mailxyz.com	07:08:00.000	00:07:06.000	@Katharina?26
831713	Katharina?	Condie	female	black	26	North West	Trace TV	2016/03/07	Katharina?265@mailxyz.com	14:45:00.000	00:15:21.000	@Katharina?26
817216	Michel?	Marek	male	white	31	Kwazulu Natal	ICC Cricket World Cup 2011	2016/02/24	Michel?201@yahoo.com	15:57:00.000	00:02:56.000	@Michel?20
817216	Michel?	Marek	male	white	31	Kwazulu Natal	M-Net	2016/02/25	Michel?201@yahoo.com	21:13:00.000	00:00:00.000	@Michel?20
2406478	Raymundo?	Luthy	male		39	Eastern Cape	Supersport Live Events	2016/03/26	Raymundo?434@abcmail.com	13:50:00.000	00:07:00.000	@Raymundo?43
793592	None	None	None	None	0	None	Channel O	2016/03/21	Krysta?494@abcmail.com	12:34:00.000	01:06:21.000	None
904063	Emerson?	Luthy	male	black	34	Gauteng	Cartoon Network	2016/03/26	Emerson?241@yahoo.com	22:02:00.000	00:00:17.000	@Emerson?24
904063	Emerson?	Luthy	male	black	34	Gauteng	Cartoon Network	2016/03/26	Emerson?241@yahoo.com	20:09:00.000	00:00:15.000	@Emerson?24
586459	Lucas?	Hier	male	black	22	Free State	Cartoon Network	2016/01/02	Lucas?233@mail.com	09:49:00.000	00:05:10.000	@Lucas?23
791320	Shandra?	Mccollum	female	indian_asian	37	Kwazulu Natal	ICC Cricket World Cup 2011	2016/03/05	Shandra?411@yahoo.com	12:57:00.000	00:00:14.000	@Shandra?41
791320	Shandra?	Mccollum	female	indian_asian	37	Kwazulu Natal	ICC Cricket World Cup 2011	2016/03/06	Shandra?411@yahoo.com	09:33:00.000	00:13:04.000	@Shandra?41
791320	Shandra?	Mccollum	female	indian_asian	37	Kwazulu Natal	ICC Cricket World Cup 2011	2016/03/06	Shandra?411@yahoo.com	08:32:00.000	00:13:54.000	@Shandra?41
771802	Valentine?	Curran	male	coloured	43	Western Cape	Boomerang	2016/01/02	Valentine?475@mailxyz.com	12:42:00.000	00:09:55.000	@Valentine?47
771802	Valentine?	Curran	male	coloured	43	Western Cape	Supersport Live Events	2016/01/30	Valentine?475@mailxyz.com	14:11:00.000	01:23:54.000	@Valentine?47
771802	Valentine?	Curran	male	coloured	43	Western Cape	CNN	2016/01/01	Valentine?475@mailxyz.com	11:25:00.000	00:00:21.000	@Valentine?47
771802	Valentine?	Curran	male	coloured	43	Western Cape	Supersport Live Events	2016/01/08	Valentine?475@mailxyz.com	14:50:00.000	00:06:06.000	@Valentine?47
771802	Valentine?	Curran	male	coloured	43	Western Cape	CNN	2016/01/01	Valentine?475@mailxyz.com	02:37:00.000	00:01:06.000	@Valentine?47
771802	Valentine?	Curran	male	coloured	43	Western Cape	Supersport Live Events	2016/02/12	Valentine?475@mailxyz.com	16:51:00.000	01:19:52.000	@Valentine?47
808941	Michel?	Curran	male	coloured	36	Western Cape	SuperSport Blitz	2016/03/01	Michel?204@abcmail.com	00:30:00.000	00:00:32.000	@Michel?20
600713	Chas?	Mccown	male	black	31	Kwazulu Natal	Channel O	2016/01/01	Chas?351@yahoo.com	14:32:00.000	00:47:18.000	@Chas?35
600713	Chas?	Mccown	male	black	31	Kwazulu Natal	Channel O	2016/01/13	Chas?351@yahoo.com	14:27:00.000	00:00:27.000	@Chas?35
2407123	Kyle?	Holt	male	black	24	Mpumalanga	Boomerang	2016/03/14	Kyle?64@abcmail.com	07:40:00.000	00:00:44.000	@Kyle?6
2407123	Kyle?	Holt	male	black	24	Mpumalanga	Cartoon Network	2016/03/08	Kyle?64@abcmail.com	21:04:00.000	00:08:40.000	@Kyle?6
